"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"117582","05-04-26 16:15","Spain","LaLiga","2025/2026","Valencia","Celta Vigo","2","3","A","1","0","H","1","3","A"
"117581","05-04-26 14:00","Spain","LaLiga","2025/2026","Getafe","Ath Bilbao","2","0","H","1","0","H","1","0","H"
"117485","04-04-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Barcelona","1","2","A","1","1","D","0","1","A"
"117484","04-04-26 18:30","Spain","LaLiga","2025/2026","Betis","Espanyol","0","0","D","0","0","D","0","0","D"
"117483","04-04-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Real Madrid","2","1","H","1","0","H","1","1","D"
"117482","04-04-26 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Levante","2","0","H","1","0","H","1","0","H"
"117403","03-04-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Elche","1","0","H","0","0","D","1","0","H"
"114444","22-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Atl. Madrid","3","2","H","0","1","A","3","1","H"
"114443","22-03-26 18:30","Spain","LaLiga","2025/2026","Ath Bilbao","Betis","2","1","H","2","0","H","0","1","A"
"114442","22-03-26 16:15","Spain","LaLiga","2025/2026","Celta Vigo","Alaves","3","4","A","3","1","H","0","3","A"
"114441","22-03-26 14:00","Spain","LaLiga","2025/2026","Barcelona","Rayo Vallecano","1","0","H","1","0","H","0","0","D"
"114334","21-03-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Valencia","0","2","A","0","2","A","0","0","D"
"114332","21-03-26 18:30","Spain","LaLiga","2025/2026","Levante","Oviedo","4","2","H","2","2","D","2","0","H"
"114333","21-03-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Girona","1","0","H","0","0","D","1","0","H"
"114331","21-03-26 16:15","Spain","LaLiga","2025/2026","Espanyol","Getafe","1","2","A","0","2","A","1","0","H"
"114330","21-03-26 14:00","Spain","LaLiga","2025/2026","Elche","Mallorca","2","1","H","0","0","D","2","1","H"
