"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"106625","14-03-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Valencia","4","7","2","3","2","4","3","2","2","2","1","0"
"106624","14-03-26 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Getafe","10","3","3","0","7","3","3","3","0","0","3","3"
"106623","14-03-26 14:00","Spain","LaLiga","2025/2026","Girona","Ath Bilbao","2","9","1","1","1","8","0","2","0","0","0","2"
"105953","13-03-26 21:00","Spain","LaLiga","2025/2026","Alaves","Villarreal","5","2","4","2","1","0","4","1","1","0","3","1"
"100585","09-03-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Oviedo","8","0","4","0","4","0","3","2","1","0","2","2"
"99656","08-03-26 21:00","Spain","LaLiga","2025/2026","Valencia","Alaves","10","2","4","1","6","1","1","6","1","2","0","4"
"99646","08-03-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Rayo Vallecano","6","2","4","1","2","1","1","3","1","0","0","3"
"99624","08-03-26 16:15","Spain","LaLiga","2025/2026","Getafe","Betis","3","8","2","3","1","5","3","2","2","1","1","1"
"99607","08-03-26 14:00","Spain","LaLiga","2025/2026","Villarreal","Elche","4","6","1","0","3","6","1","2","1","0","0","2"
"99579","07-03-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Barcelona","2","4","1","2","1","2","2","1","0","0","2","1"
"99563","07-03-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Real Sociedad","8","1","4","0","4","1","1","1","1","0","0","1"
"99548","07-03-26 16:15","Spain","LaLiga","2025/2026","Levante","Girona","2","3","2","1","0","2","2","2","0","1","2","1"
"99510","07-03-26 14:00","Spain","LaLiga","2025/2026","Osasuna","Mallorca","8","0","1","0","7","0","2","5","1","2","1","3"
"99494","06-03-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Real Madrid","1","6","0","1","1","5","1","2","1","0","0","2"
"99455","04-03-26 19:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Oviedo","12","2","5","0","7","2","0","2","0","1","0","1"
"99423","02-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Getafe","10","2","4","1","6","1","4","6","0","2","4","4"
"98768","01-03-26 21:00","Spain","LaLiga","2025/2026","Girona","Celta Vigo","10","6","4","6","6","0","2","2","0","1","2","1"
"98757","01-03-26 18:30","Spain","LaLiga","2025/2026","Betis","Sevilla","4","3","3","1","1","2","3","3","1","1","2","2"
"98729","01-03-26 16:15","Spain","LaLiga","2025/2026","Valencia","Osasuna","5","4","3","1","2","3","3","3","1","1","2","2"
"98714","01-03-26 14:00","Spain","LaLiga","2025/2026","Elche","Espanyol","3","1","2","1","1","0","1","6","0","1","1","5"
"97486","28-02-26 21:00","Spain","LaLiga","2025/2026","Oviedo","Atl. Madrid","8","3","6","1","2","2","2","2","1","1","1","1"
"97468","28-02-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Real Sociedad","3","7","1","4","2","3","0","2","0","0","0","2"
"97454","28-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Villarreal","3","2","1","1","2","1","2","1","0","0","2","1"
"97408","28-02-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Ath Bilbao","5","4","2","1","3","3","2","3","1","1","1","2"
"97384","27-02-26 21:00","Spain","LaLiga","2025/2026","Levante","Alaves","10","6","3","5","7","1","1","6","0","1","1","5"
"97282","23-02-26 21:00","Spain","LaLiga","2025/2026","Alaves","Girona","7","6","0","4","7","2","2","2","1","0","1","2"
"97260","22-02-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Valencia","5","4","4","2","1","2","2","4","2","2","0","2"
"97251","22-02-26 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Mallorca","7","2","4","0","3","2","1","5","0","1","1","4"
"97235","22-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Levante","13","6","4","1","9","5","2","1","1","1","1","0"
"97216","22-02-26 14:00","Spain","LaLiga","2025/2026","Getafe","Sevilla","2","2","0","0","2","2","1","1","1","0","0","1"
"97179","21-02-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Espanyol","5","3","3","0","2","3","0","1","0","0","0","1"
"97158","21-02-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Real Madrid","3","7","2","5","1","2","2","4","1","1","1","3"
"97145","21-02-26 16:15","Spain","LaLiga","2025/2026","Betis","Rayo Vallecano","3","5","2","2","1","3","4","3","2","2","2","1"
"97100","21-02-26 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Oviedo","7","6","4","2","3","4","2","1","1","0","1","1"
"97071","20-02-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Elche","4","1","1","1","3","0","3","3","0","2","3","1"
"97019","18-02-26 20:00","Spain","LaLiga","2025/2026","Levante","Villarreal","3","2","1","1","2","1","3","4","2","0","1","4"
"94613","16-02-26 21:00","Spain","LaLiga","2025/2026","Girona","Barcelona","3","7","1","1","2","6","1","2","0","1","1","1"
"93115","15-02-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Betis","7","3","4","2","3","1","4","3","1","2","3","1"
"93107","15-02-26 18:30","Spain","LaLiga","2025/2026","Levante","Valencia","3","2","1","2","2","0","3","2","0","1","3","1"
"93094","15-02-26 16:15","Spain","LaLiga","2025/2026","Rayo Vallecano","Atl. Madrid","4","8","3","3","1","5","1","3","0","1","1","2"
"93078","15-02-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Ath Bilbao","2","3","1","3","1","0","2","3","1","1","1","2"
"93058","14-02-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Real Sociedad","4","6","2","1","2","5","1","1","1","0","0","1"
"93046","14-02-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Alaves","0","3","0","1","0","2","5","0","2","0","3","0"
"93035","14-02-26 16:15","Spain","LaLiga","2025/2026","Getafe","Villarreal","3","4","0","1","3","3","2","3","2","1","0","2"
"92998","14-02-26 14:00","Spain","LaLiga","2025/2026","Espanyol","Celta Vigo","2","2","1","0","1","2","1","0","0","0","1","0"
"91780","13-02-26 21:00","Spain","LaLiga","2025/2026","Elche","Osasuna","10","3","3","1","7","2","2","4","1","1","1","3"
"91698","09-02-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Espanyol","5","8","2","3","3","5","3","3","1","1","2","2"
"90996","08-02-26 21:00","Spain","LaLiga","2025/2026","Valencia","Real Madrid","5","8","5","5","0","3","1","1","0","0","1","1"
"90988","08-02-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Betis","7","3","4","2","3","1","3","1","1","0","2","1"
"90973","08-02-26 16:15","Spain","LaLiga","2025/2026","Ath Bilbao","Levante","4","3","0","1","4","2","2","1","0","0","2","1"
"90974","08-02-26 16:15","Spain","LaLiga","2025/2026","Sevilla","Girona","5","7","1","4","4","3","3","3","1","0","2","3"
"90960","08-02-26 14:00","Spain","LaLiga","2025/2026","Alaves","Getafe","6","3","3","2","3","1","2","5","0","2","2","3"
"90941","07-02-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Elche","2","4","1","2","1","2","0","4","0","2","0","2"
"90915","07-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Mallorca","12","3","4","2","8","1","0","0","0","0","0","0"
"90849","06-02-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Osasuna","7","3","3","1","4","2","2","2","0","1","2","1"
"90178","02-02-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Sevilla","4","8","1","4","3","4","1","1","1","0","0","1"
"89617","01-02-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Real Sociedad","6","3","3","2","3","1","4","2","0","1","4","1"
"89607","01-02-26 18:30","Spain","LaLiga","2025/2026","Getafe","Celta Vigo","5","3","4","0","1","3","1","2","1","1","0","1"
