"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"79678","18-01-26 14:00","Spain","LaLiga","2025/2026","Getafe","Valencia","55","45","54","46","58","42","14","7","8","1","6","6","3","1","3","0","0","1","6","3","3","1","3","2"
"79666","17-01-26 21:00","Spain","LaLiga","2025/2026","Betis","Villarreal","60","40","61","39","59","41","15","9","7","3","8","6","6","3","3","2","3","1","6","5","3","1","3","4"
"79653","17-01-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Oviedo","51","49","56","44","46","54","16","13","7","6","9","7","5","5","2","3","3","2","6","6","2","2","4","4"
"79642","17-01-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Ath Bilbao","51","49","51","49","51","49","18","21","5","13","13","8","9","11","4","6","5","5","8","5","1","4","7","1"
"79596","17-01-26 14:00","Spain","LaLiga","2025/2026","Real Madrid","Levante","70","30","70","30","70","30","26","10","6","8","20","2","11","0","1","0","10","0","10","8","2","6","8","2"
"79577","16-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Girona","49","51","44","56","55","45","14","7","2","3","12","4","2","4","0","2","2","2","9","2","0","1","9","1"
"79548","12-01-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Celta Vigo","59","41","61","39","56","44","7","9","4","5","3","4","2","7","0","3","2","4","2","2","2","2","0","0"
"79021","11-01-26 16:15","Spain","LaLiga","2025/2026","Levante","Espanyol","49","51","55","45","43","57","8","19","4","8","4","11","2","3","1","1","1","2","3","10","2","6","1","4"
"79013","11-01-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Mallorca","53","47","57","43","49","51","14","9","9","4","5","5","5","2","3","2","2","0","7","5","5","2","2","3"
"77861","10-01-26 21:00","Spain","LaLiga","2025/2026","Valencia","Elche","39","61","34","66","44","56","16","5","8","1","8","4","4","1","2","0","2","1","9","2","6","0","3","2"
"77856","10-01-26 18:30","Spain","LaLiga","2025/2026","Girona","Osasuna","46","54","51","49","41","59","8","13","4","7","4","6","4","1","1","0","3","1","3","11","2","6","1","5"
"77852","10-01-26 16:15","Spain","LaLiga","2025/2026","Villarreal","Alaves","44","56","45","55","44","56","11","16","2","4","9","12","4","5","0","2","4","3","5","7","1","2","4","5"
"77837","10-01-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Betis","42","58","43","57","42","58","13","15","9","4","4","11","3","6","1","1","2","5","5","7","4","3","1","4"
"76527","09-01-26 21:00","Spain","LaLiga","2025/2026","Getafe","Real Sociedad","43","57","33","67","53","47","6","12","3","2","3","10","3","5","2","1","1","4","2","5","1","0","1","5"
"75783","04-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Atl. Madrid","45","55","48","52","43","57","18","10","8","3","10","7","8","2","2","0","6","2","5","6","3","3","2","3"
